county_full,county,state,population
Appling County,Appling,GA,18386
Atkinson County,Atkinson,GA,8165
Bacon County,Bacon,GA,11164
Baker County,Baker,GA,3038
Baldwin County,Baldwin,GA,44890
Banks County,Banks,GA,19234
Barrow County,Barrow,GA,83240
Bartow County,Bartow,GA,107738
Ben Hill County,Ben Hill,GA,16700
Berrien County,Berrien,GA,19397
Bibb County,Bibb,GA,153159
Bleckley County,Bleckley,GA,12873
Brantley County,Brantley,GA,19109
Brooks County,Brooks,GA,15457
Bryan County,Bryan,GA,39627
Bulloch County,Bulloch,GA,79608
Burke County,Burke,GA,22383
Butts County,Butts,GA,24936
Calhoun County,Calhoun,GA,6189
Camden County,Camden,GA,54666
Candler County,Candler,GA,10803
Carroll County,Carroll,GA,119992
Catoosa County,Catoosa,GA,67580
Charlton County,Charlton,GA,13392
Chatham County,Chatham,GA,289430
Chattahoochee County,Chattahoochee,GA,10907
Chattooga County,Chattooga,GA,24789
Cherokee County,Cherokee,GA,258773
Clarke County,Clarke,GA,128331
Clay County,Clay,GA,2834
Clayton County,Clayton,GA,292256
Clinch County,Clinch,GA,6618
Cobb County,Cobb,GA,760141
Coffee County,Coffee,GA,43273
Colquitt County,Colquitt,GA,45600
Columbia County,Columbia,GA,156714
Cook County,Cook,GA,17270
Coweta County,Coweta,GA,148509
Crawford County,Crawford,GA,12404
Crisp County,Crisp,GA,22372
Dade County,Dade,GA,16116
Dawson County,Dawson,GA,26108
Decatur County,Decatur,GA,26404
DeKalb County,DeKalb,GA,759297
Dodge County,Dodge,GA,20605
Dooly County,Dooly,GA,13390
Dougherty County,Dougherty,GA,87956
Douglas County,Douglas,GA,146343
Early County,Early,GA,10190
Echols County,Echols,GA,4006
Effingham County,Effingham,GA,64296
Elbert County,Elbert,GA,19194
Emanuel County,Emanuel,GA,22646
Evans County,Evans,GA,10654
Fannin County,Fannin,GA,26188
Fayette County,Fayette,GA,114421
Floyd County,Floyd,GA,98498
Forsyth County,Forsyth,GA,244252
Franklin County,Franklin,GA,23349
Fulton County,Fulton,GA,1063937
Gilmer County,Gilmer,GA,31369
Glascock County,Glascock,GA,2971
Glynn County,Glynn,GA,85292
Gordon County,Gordon,GA,57963
Grady County,Grady,GA,24633
Greene County,Greene,GA,18324
Gwinnett County,Gwinnett,GA,936250
Habersham County,Habersham,GA,45328
Hall County,Hall,GA,204441
Hancock County,Hancock,GA,8457
Haralson County,Haralson,GA,29792
Harris County,Harris,GA,35236
Hart County,Hart,GA,26205
Heard County,Heard,GA,11923
Henry County,Henry,GA,234561
Houston County,Houston,GA,157863
Irwin County,Irwin,GA,9416
Jackson County,Jackson,GA,72977
Jasper County,Jasper,GA,14219
Jeff Davis County,Jeff Davis,GA,15115
Jefferson County,Jefferson,GA,15362
Jenkins County,Jenkins,GA,8676
Johnson County,Johnson,GA,9643
Jones County,Jones,GA,28735
Lamar County,Lamar,GA,19077
Lanier County,Lanier,GA,10423
Laurens County,Laurens,GA,47546
Lee County,Lee,GA,29992
Liberty County,Liberty,GA,61435
Lincoln County,Lincoln,GA,7921
Long County,Long,GA,19559
Lowndes County,Lowndes,GA,117406
Lumpkin County,Lumpkin,GA,33610
McDuffie County,McDuffie,GA,21312
McIntosh County,McIntosh,GA,14378
Macon County,Macon,GA,12947
Madison County,Madison,GA,29880
Marion County,Marion,GA,8359
Meriwether County,Meriwether,GA,21167
Miller County,Miller,GA,5718
Mitchell County,Mitchell,GA,21863
Monroe County,Monroe,GA,27578
Montgomery County,Montgomery,GA,9172
Morgan County,Morgan,GA,19276
Murray County,Murray,GA,40096
Muscogee County,Muscogee,GA,195769
Newton County,Newton,GA,111744
Oconee County,Oconee,GA,40280
Oglethorpe County,Oglethorpe,GA,15259
Paulding County,Paulding,GA,168667
Peach County,Peach,GA,27546
Pickens County,Pickens,GA,32591
Pierce County,Pierce,GA,19465
Pike County,Pike,GA,18962
Polk County,Polk,GA,42613
Pulaski County,Pulaski,GA,11137
Putnam County,Putnam,GA,22119
Quitman County,Quitman,GA,2299
Rabun County,Rabun,GA,17137
Randolph County,Randolph,GA,6778
Richmond County,Richmond,GA,202518
Rockdale County,Rockdale,GA,90896
Schley County,Schley,GA,5257
Screven County,Screven,GA,13966
Seminole County,Seminole,GA,8090
Spalding County,Spalding,GA,66703
Stephens County,Stephens,GA,25925
Stewart County,Stewart,GA,6621
Sumter County,Sumter,GA,29524
Talbot County,Talbot,GA,6195
Taliaferro County,Taliaferro,GA,1537
Tattnall County,Tattnall,GA,25286
Taylor County,Taylor,GA,8020
Telfair County,Telfair,GA,15860
Terrell County,Terrell,GA,8531
Thomas County,Thomas,GA,44451
Tift County,Tift,GA,40644
Toombs County,Toombs,GA,26830
Towns County,Towns,GA,12037
Treutlen County,Treutlen,GA,6901
Troup County,Troup,GA,69922
Turner County,Turner,GA,7985
Twiggs County,Twiggs,GA,8120
Union County,Union,GA,24511
Upson County,Upson,GA,26320
Walker County,Walker,GA,69761
Walton County,Walton,GA,94593
Ware County,Ware,GA,35734
Warren County,Warren,GA,5254
Washington County,Washington,GA,20374
Wayne County,Wayne,GA,29927
Webster County,Webster,GA,2607
Wheeler County,Wheeler,GA,7855
White County,White,GA,30798
Whitfield County,Whitfield,GA,104628
Wilcox County,Wilcox,GA,8635
Wilkes County,Wilkes,GA,9777
Wilkinson County,Wilkinson,GA,8954
Worth County,Worth,GA,20247
